medium	description	compound	name
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	ca2	Calcium
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	cl	Chloride
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	fe2	Fe2+
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	fe3	Fe3+
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	mn2	Mn2+
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	zn2	Zn2+
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	cu2	Cu2+
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	cobalt2	Co2+
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	ni2	Ni2+
Oral_ASM	Artificial Saliva Medium (BiGG; supragingival/microaerobic)	mobd	Molybdate
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	glc__D	D-Glucose
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	sucr	Sucrose
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	acgam	N-acetyl-D-glucosamine
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	acnam	N-acetyl-neuraminate (sialic acid)
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	fuc__L	L-Fucose
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	gal	D-Galactose
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	man	D-Mannose
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	urea	Urea
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	ala__L	L-Alanine
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	arg__L	L-Arginine
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	asn__L	L-Asparagine
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	asp__L	L-Aspartate
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	cys__L	L-Cysteine
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	glu__L	L-Glutamate
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	gln__L	L-Glutamine
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	gly	Glycine
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	his__L	L-Histidine
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	ile__L	L-Isoleucine
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	leu__L	L-Leucine
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	lys__L	L-Lysine
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	met__L	L-Methionine
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	phe__L	L-Phenylalanine
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	pro__L	L-Proline
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	ser__L	L-Serine
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	thr__L	L-Threonine
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	trp__L	L-Tryptophan
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	tyr__L	L-Tyrosine
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	val__L	L-Valine
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	adn	Adenosine
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	cytd	Cytidine
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	gsn	Guanosine
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	uri	Uridine
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	thymd	Thymidine
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	hxan	Hypoxanthine
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	pheme	Protoheme (hemin)
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	mqn8	Menaquinone-8
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	mqn7	Menaquinone-7
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	pnto__R	(R)-Pantothenate
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	nict	Nicotinate
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	ribflv	Riboflavin
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	thm	Thiamine
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	btn	Biotin
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	pydxn	Pyridoxine
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	cbl1	Cobalamin
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	fol	Folate
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	4abz	4-Aminobenzoate
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	spmd	Spermidine
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	nh4	Ammonium
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	pi	Phosphate
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	so4	Sulfate
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	h2o	H2O
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	h	H+
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	co2	CO2
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	hco3	Bicarbonate
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	na1	Sodium
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	k	Potassium
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	mg2	Magnesium
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	ca2	Calcium
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	cl	Chloride
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	fe2	Fe2+
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	fe3	Fe3+
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	mn2	Mn2+
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	zn2	Zn2+
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	cu2	Cu2+
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	cobalt2	Co2+
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	ni2	Ni2+
Oral_ASM[-O2]	Oral_ASM anaerobic variant (subgingival plaque)	mobd	Molybdate
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	glc__D	D-Glucose
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	pyr	Pyruvate
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	malt	Maltose
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	mlthx	Maltohexaose
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	starch1200	Soluble starch
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	ala__L	L-Alanine
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	arg__L	L-Arginine
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	asn__L	L-Asparagine
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	asp__L	L-Aspartate
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	cys__L	L-Cysteine
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	gln__L	L-Glutamine
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	glu__L	L-Glutamate
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	gly	Glycine
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	his__L	L-Histidine
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	ile__L	L-Isoleucine
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	leu__L	L-Leucine
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	lys__L	L-Lysine
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	met__L	L-Methionine
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	phe__L	L-Phenylalanine
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	pro__L	L-Proline
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	ser__L	L-Serine
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	thr__L	L-Threonine
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	trp__L	L-Tryptophan
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	tyr__L	L-Tyrosine
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	val__L	L-Valine
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	thm	Thiamine
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	ribflv	Riboflavin
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	nac	Niacin
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	pnto__R	Pantothenate
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	pydx	Pyridoxine
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	btn	Biotin
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	fol	Folate
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	cbl1	Cobalamin (B12)
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	ade	Adenine
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	gua	Guanine
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	ura	Uracil
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	csn	Cytosine
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	thymd	Thymidine
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	pi	Phosphate
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	so4	Sulfate
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	mg2	Mg2+
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	ca2	Ca2+
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	k	K+
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	na1	Na+
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	cl	Cl-
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	fe2	Fe2+
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	fe3	Fe3+
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	mn2	Mn2+
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	zn2	Zn2+
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	cu2	Cu2+
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	cobalt2	Co2+
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	ni2	Ni2+
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	mobd	Molybdate
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	nh4	Ammonium
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	o2	Oxygen
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	h2o	Water
R2A	Reasoner's 2A (rhizosphere SynCom; MIND benchmark)	h	Proton
WesternDiet	AGORA Western Diet	cpd00027	D-Glucose
WesternDiet	AGORA Western Diet	cpd00082	D-Fructose
WesternDiet	AGORA Western Diet	cpd00108	D-Galactose
WesternDiet	AGORA Western Diet	cpd00138	D-Mannose
WesternDiet	AGORA Western Diet	cpd00314	D-Mannitol
WesternDiet	AGORA Western Diet	cpd01019	L-Fucose
WesternDiet	AGORA Western Diet	cpd00222	D-Gluconate
WesternDiet	AGORA Western Diet	cpd01108	L-Rhamnose
WesternDiet	AGORA Western Diet	cpd00224	L-Arabinose
WesternDiet	AGORA Western Diet	cpd00189	D-Arabinose
WesternDiet	AGORA Western Diet	cpd00382	2-Deoxyribose
WesternDiet	AGORA Western Diet	cpd00105	D-Ribose
WesternDiet	AGORA Western Diet	cpd00154	D-Xylose
WesternDiet	AGORA Western Diet	cpd00208	Lactose
WesternDiet	AGORA Western Diet	cpd00179	Maltose
WesternDiet	AGORA Western Diet	cpd00076	Sucrose
WesternDiet	AGORA Western Diet	cpd00136	Melibiose
WesternDiet	AGORA Western Diet	cpd00158	Cellobiose
WesternDiet	AGORA Western Diet	cpd00794	Trehalose
WesternDiet	AGORA Western Diet	cpd00122	N-Acetyl-D-glucosamine (GlcNAc)
WesternDiet	AGORA Western Diet	cpd00310	N-Acetylneuraminate (sialic acid)
WesternDiet	AGORA Western Diet	cpd00276	D-Glucosamine
WesternDiet	AGORA Western Diet	cpd00291	N-Acetyl-D-mannosamine
WesternDiet	AGORA Western Diet	cpd00033	Glycine
WesternDiet	AGORA Western Diet	cpd00035	L-Alanine
WesternDiet	AGORA Western Diet	cpd00054	L-Serine
WesternDiet	AGORA Western Diet	cpd00084	L-Cysteine
WesternDiet	AGORA Western Diet	cpd00051	L-Arginine
WesternDiet	AGORA Western Diet	cpd00322	L-Isoleucine
WesternDiet	AGORA Western Diet	cpd00107	L-Leucine
WesternDiet	AGORA Western Diet	cpd00039	L-Lysine
WesternDiet	AGORA Western Diet	cpd00119	L-Histidine
WesternDiet	AGORA Western Diet	cpd00132	L-Asparagine
WesternDiet	AGORA Western Diet	cpd00161	L-Threonine
WesternDiet	AGORA Western Diet	cpd00041	L-Aspartate
WesternDiet	AGORA Western Diet	cpd00023	L-Glutamate
WesternDiet	AGORA Western Diet	cpd00060	L-Methionine
WesternDiet	AGORA Western Diet	cpd00053	L-Glutamine
WesternDiet	AGORA Western Diet	cpd00129	L-Proline
WesternDiet	AGORA Western Diet	cpd00156	L-Valine
WesternDiet	AGORA Western Diet	cpd00066	L-Phenylalanine
WesternDiet	AGORA Western Diet	cpd00069	L-Tyrosine
WesternDiet	AGORA Western Diet	cpd00065	L-Tryptophan
WesternDiet	AGORA Western Diet	cpd00010	Coenzyme A
WesternDiet	AGORA Western Diet	cpd00214	Hexadecanoic acid (palmitate)
WesternDiet	AGORA Western Diet	cpd00162	Oleic acid
WesternDiet	AGORA Western Diet	cpd00550	Linoleic acid
WesternDiet	AGORA Western Diet	cpd01242	alpha-Linolenic acid
WesternDiet	AGORA Western Diet	cpd01248	gamma-Linolenic acid
WesternDiet	AGORA Western Diet	cpd00455	Arachidonic acid
WesternDiet	AGORA Western Diet	cpd00306	Tetradecanoic acid (myristate)
WesternDiet	AGORA Western Diet	cpd00654	Dodecanoic acid (laurate)
WesternDiet	AGORA Western Diet	cpd00184	Octadecanoic acid (stearate)
WesternDiet	AGORA Western Diet	cpd00609	Octanoic acid
WesternDiet	AGORA Western Diet	cpd00207	Hexadecenoic acid
WesternDiet	AGORA Western Diet	cpd00121	Cholesterol
WesternDiet	AGORA Western Diet	cpd00100	Glycerol
WesternDiet	AGORA Western Diet	cpd00305	Thiamine (B1)
WesternDiet	AGORA Western Diet	cpd00220	Riboflavin (B2)
WesternDiet	AGORA Western Diet	cpd00218	Nicotinic acid (B3)
WesternDiet	AGORA Western Diet	cpd00104	Biotin (B7)
WesternDiet	AGORA Western Diet	cpd00217	Pantothenate (B5)
WesternDiet	AGORA Western Diet	cpd00198	Pyridoxine (B6)
WesternDiet	AGORA Western Diet	cpd00201	Folate (B9)
WesternDiet	AGORA Western Diet	cpd00423	Cobalamin (B12)
WesternDiet	AGORA Western Diet	cpd01354	Adenosylcobalamin
WesternDiet	AGORA Western Diet	cpd00001	H2O
WesternDiet	AGORA Western Diet	cpd00067	H+
WesternDiet	AGORA Western Diet	cpd00009	Phosphate
WesternDiet	AGORA Western Diet	cpd00048	Sulfate
WesternDiet	AGORA Western Diet	cpd00971	Na+
WesternDiet	AGORA Western Diet	cpd00063	Ca2+
WesternDiet	AGORA Western Diet	cpd00205	K+
WesternDiet	AGORA Western Diet	cpd00099	Cl-
WesternDiet	AGORA Western Diet	cpd00058	Cu2+
WesternDiet	AGORA Western Diet	cpd10516	Fe2+
WesternDiet	AGORA Western Diet	cpd10515	Fe3+
WesternDiet	AGORA Western Diet	cpd00254	Mg2+
WesternDiet	AGORA Western Diet	cpd00030	Mn2+
WesternDiet	AGORA Western Diet	cpd00034	Zn2+
WesternDiet	AGORA Western Diet	cpd00149	Co2+
WesternDiet	AGORA Western Diet	cpd00055	Molybdate
WesternDiet	AGORA Western Diet	cpd00750	Selenite
WesternDiet	AGORA Western Diet	cpd00029	Acetate
WesternDiet	AGORA Western Diet	cpd00047	Formate
WesternDiet	AGORA Western Diet	cpd00106	Fumarate
WesternDiet	AGORA Western Diet	cpd00137	Citrate
WesternDiet	AGORA Western Diet	cpd00080	Glycerol-3-phosphate
WesternDiet	AGORA Western Diet	cpd00239	Hydrogen sulfide
WesternDiet	AGORA Western Diet	cpd11640	H2
WesternDiet	AGORA Western Diet	cpd00146	Hypoxanthine
WesternDiet	AGORA Western Diet	cpd00028	Adenine
WesternDiet	AGORA Western Diet	cpd00092	Uracil
WesternDiet	AGORA Western Diet	cpd00015	Adenosine
